depth,timespan
0.6099992,1.3688
0.6119992,0
0.6139992,1.0001
0.6159992,0
0.6179992,0
0.6199992,1.0008
0.6219992,0
0.6239992,0
0.6259992,0
0.6279992,0
0.6299992,1.4372
0.6319993,0
0.6339992,0.9968
0.6359992,0
0.6379992,0
0.6399993,0
0.6419992,0
0.6439992,0
0.6459993,0
0.6479993,1.0014
0.6499993,0
0.6519992,0
0.6539993,0
0.6559993,1.0037
0.6579993,0
0.6599993,0
0.6619993,0
0.6639993,0.5553
0.6659993,1.0083
0.6679993,0
0.6699993,0
0.6719993,1.0011
0.6739993,0
0.6759993,0
0.6779993,1.4463
0.6799994,0.9999
0.6819993,0
0.6839993,0
0.6859993,0
0.6879994,0
0.6899993,0
0.6919993,0.9996
0.6939994,0
0.6959994,0
0.6979994,0
0.6999993,1.0012
0.7019994,1.0004
0.7039994,0.9998
0.7059994,0
0.7079993,0.9988
0.7099994,0
0.7119994,1.0026
0.7139994,0
0.7159994,1.0019
0.7179994,0
0.7199994,0
0.7219994,0
0.7239994,1.0013
0.7259994,1.0011
0.7279994,1.0016
0.7299994,1.0001
0.7319994,0
0.7339994,0
0.7359995,0
0.7379994,0.9987
0.7399994,0
0.7419994,1.0107
0.7439995,1.0025
0.7459995,1.0073
0.7479994,1.0031
0.7499995,0
0.7519995,1.0013
0.7539995,0
0.7559994,0
0.7579995,1.0013
0.7599995,0
0.7619995,1.0035
0.7639995,0
0.7659995,1.0027
0.7679995,0
0.7699995,1.0009
0.7719995,0
0.7739995,0
0.7759995,0
0.7779995,0.7766
0.7799995,1.0114
0.7819995,1.004
0.7839996,0
0.7859995,1.0015
0.7879995,1.0009
0.7899995,1.0064
0.7919996,0
0.7939996,0
0.7959995,0
0.7979996,0
0.7999996,0
0.8019996,1.001
0.8039995,0
0.8059996,1.0027
0.8079996,1.0017
0.8099996,0
0.8119996,0
0.8139996,1.0041
0.8159996,0
0.8179996,0
0.8199996,1.0027
0.8219996,0
0.8239996,0
0.8259996,1.0012
0.8279996,1.0009
0.8299996,1.0404
0.8319997,1.0021
0.8339996,0
0.8359996,1.0022
0.8379996,0
0.8399997,0
0.8419997,0
0.8439996,0
0.8459997,0
0.8479997,0
0.8499997,1.0016
0.8519996,0
0.8539997,0
0.8559997,0
0.8579997,0
0.8599997,0
0.8619997,1.0016
0.8639997,0
0.8659997,0
0.8679997,0
0.8699997,0
0.8719997,0
0.8739997,0
0.8759997,1.0018
0.8779997,1.0012
0.8799998,1.0011
0.8819997,1.0021
0.8839997,1.0017
0.8859997,1.0006
0.8879998,0
0.8899997,0
0.8919997,0.9996
0.8939998,0
0.8959998,0
0.8979998,0
0.8999997,0
0.9019998,0.9981
0.9039998,1.002
0.9059998,1.0094
0.9079998,1.0076
0.9099998,0
0.9119998,0
0.9139998,0
0.9159998,1.0007
0.9179998,0
0.9199998,0
0.9219998,0.9966
0.9239998,0
0.9259998,0
0.9279999,1.0039
0.9299998,0
0.9319998,0.9978
0.9339998,0
0.9359999,0
0.9379998,0
0.9399998,1.0025
0.9419999,1.0028
0.9439999,1.0002
0.9459999,0
0.9479998,0
0.9499999,1.0032
0.9519999,0.9998
0.9539999,0
0.9559999,0
0.9579999,0
0.9599999,0.9991
0.9619999,1.0007
0.9639999,1.0008
0.9659999,1.0014
0.9679999,0
0.9699999,1
0.9719999,0
0.9739999,0
0.976,0
0.9779999,0
0.9799999,1.0012
0.9819999,1.0007
0.984,1.0025
0.9859999,0.507
0.9879999,1.0138
0.9899999,0
0.992,1.0014
0.994,0
0.9959999,1.0008
0.998,0
1,1.0005
1.002,0
1.004,1.002
1.006,0
1.008,0.9997
1.01,0.9995
1.012,0.9978
1.014,0.9984
1.016,0
1.018,1.0016
1.02,0
1.022,0
1.024,0
1.026,1.0037
1.028,0
1.03,0
1.032,0
1.034,1.0013
1.036,1.0019
1.038,1.0005
1.039999,0
1.041999,1.0019
1.043999,0
1.045999,1.0026
1.047999,0
1.049999,1.0009
1.051999,1.0015
1.053999,0
1.055999,0
1.057999,0
1.059999,1
1.061999,0
1.063999,0
1.065999,0
1.067999,1.0012
1.069999,0
1.071999,1.0015
1.073999,0
1.075999,1.0013
1.077999,1.0006
1.079999,1.0027
1.081999,1.001
1.083999,0
1.085999,0
1.087999,1.0026
1.089999,1.0014
1.091999,1.0014
1.093999,0
1.095999,0
1.097999,1.001
1.099999,0.9991
1.101999,0
1.103999,0
1.105999,0
1.107999,0
1.109999,1.002
1.111999,0
1.113999,1.0012
1.115999,0
1.117998,0
1.119998,0
1.121998,1.0015
1.123998,0
1.125998,1.0012
1.127998,0
1.129998,0
1.131998,1.0023
1.133998,0.9991
1.135998,0
1.137998,1.0026
1.139998,1.0019
1.141998,0
1.143998,0
1.145998,0.9997
1.147998,0.9982
1.149998,0
1.151998,0
1.153998,1.0005
1.155998,1.0024
1.157998,0
1.159998,0
1.161998,0
