depth,volume
-0.1,0
-0.09800005,0
-0.09600008,0
-0.0940001,0
-0.09200013,0
-0.09000015,0
-0.08800018,0
-0.0860002,0
-0.08400023,0
-0.08200026,0
-0.08000028,0
-0.07800031,0
-0.07600033,0
-0.07400036,0
-0.07200038,0
-0.07000041,0
-0.06800044,0
-0.06600046,0
-0.06400049,0
-0.06200051,0
-0.06000054,0
-0.05800056,0
-0.05600059,0
-0.05400062,0
-0.05200064,0
-0.05000067,0
-0.04800069,0
-0.04600072,0
-0.04400074,0
-0.04200077,0
-0.0400008,0
-0.03800082,0
-0.03600085,0
-0.03400087,0
-0.0320009,0
-0.03000093,0
-0.02800095,0
-0.02600098,0
-0.024001,0
-0.02200103,0
-0.02000105,0
-0.01800108,0
-0.01600111,0
-0.01400113,0
-0.01200116,0
-0.01000118,0
-0.008001208,0
-0.006001234,0
-0.00400126,0
-0.002001286,0
-1.311302E-06,0
0.001998693,0
0.003998697,0
0.005998701,0
0.007998705,0
0.009998709,0
0.01199871,1.54912E-05
0.01399872,2.460067E-05
0.01599872,3.672333E-05
0.01799873,5.228892E-05
0.01999873,7.172843E-05
0.02199873,9.547235E-05
0.02399874,0.0001239513
0.02599874,0.0001575946
0.02799875,0.0001968338
0.02999875,0.0002421002
0.03199875,0.000293823
0.03399876,0.0003524313
0.03599876,0.0004183577
0.03799877,0.0004920331
0.03999877,0.0005738878
0.04199877,0.0006643495
0.04399878,0.0007638491
0.04599878,0.0008728215
0.04799879,0.0009916931
0.04999879,0.001120895
0.05199879,0.001260855
0.0539988,0.001412014
0.0559988,0.001574792
0.05799881,0.00174962
0.05999881,0.001936931
0.06199881,0.002137158
0.06399882,0.002350731
0.06599882,0.002578075
0.06799883,0.00281962
0.06999883,0.003075805
0.07199883,0.003347056
0.07399884,0.003633801
0.07599884,0.003936429
0.07799885,0.004254841
0.07999885,0.004588583
0.08199885,0.00493722
0.08399886,0.005300307
0.08599886,0.00567741
0.08799887,0.00606808
0.08999887,0.006471874
0.09199888,0.006888351
0.09399888,0.007317076
0.09599888,0.007757486
0.09799889,0.008206933
0.09999889,0.008664431
0.1019989,0.009129973
0.1039989,0.009603551
0.1059989,0.01008516
0.1079989,0.0105748
0.1099989,0.01107246
0.1119989,0.01157813
0.1139989,0.01209181
0.1159989,0.0126135
0.1179989,0.01314318
0.1199989,0.01368086
0.1219989,0.01422651
0.1239989,0.01478015
0.1259989,0.01534176
0.1279989,0.01591135
0.129999,0.01648889
0.131999,0.01707439
0.133999,0.01766784
0.135999,0.01826925
0.137999,0.01887858
0.139999,0.01949586
0.141999,0.02012106
0.143999,0.02075418
0.145999,0.02139522
0.147999,0.02204417
0.149999,0.02270102
0.151999,0.02336578
0.153999,0.02403842
0.155999,0.02471896
0.157999,0.02540737
0.159999,0.02610366
0.161999,0.02680783
0.163999,0.02751985
0.165999,0.02823973
0.167999,0.02896748
0.169999,0.02970306
0.171999,0.03044649
0.173999,0.03119776
0.175999,0.03195685
0.177999,0.03272377
0.1799991,0.03349851
0.1819991,0.03428105
0.1839991,0.03507141
0.1859991,0.03586957
0.1879991,0.03667551
0.1899991,0.03748925
0.1919991,0.03831078
0.1939991,0.03914008
0.1959991,0.03997717
0.1979991,0.040822
0.1999991,0.0416746
0.2019991,0.04253495
0.2039991,0.04340306
0.2059991,0.04427891
0.2079991,0.04516249
0.2099991,0.0460538
0.2119991,0.04695285
0.2139991,0.04785962
0.2159991,0.0487741
0.2179991,0.04969629
0.2199991,0.05062617
0.2219991,0.05156375
0.2239991,0.05250904
0.2259991,0.053462
0.2279992,0.05442264
0.2299992,0.05539096
0.2319992,0.05636695
0.2339992,0.05735059
0.2359992,0.0583419
0.2379992,0.05934085
0.2399992,0.06034745
0.2419992,0.06136166
0.2439992,0.06238342
0.2459992,0.06341277
0.2479992,0.06444966
0.2499992,0.06549401
0.2519992,0.06654534
0.2539992,0.06760304
0.2559992,0.06866702
0.2579992,0.06973725
0.2599992,0.07081367
0.2619992,0.07189619
0.2639992,0.07298476
0.2659992,0.07407933
0.2679992,0.0751798
0.2699992,0.07628617
0.2719992,0.07739834
0.2739992,0.07851624
0.2759992,0.07963981
0.2779993,0.08076903
0.2799993,0.08190377
0.2819993,0.08304403
0.2839993,0.08418972
0.2859993,0.08534075
0.2879993,0.08649709
0.2899993,0.08765871
0.2919993,0.08882548
0.2939993,0.08999737
0.2959993,0.09117433
0.2979993,0.09235628
0.2999993,0.09354316
0.3019993,0.09473491
0.3039993,0.09593149
