Time, fps 
0.987049, 231.1652
1.993191, 252.5109
2.998085, 251.7445
4.006001, 251.0836
5.013637, 252.1918
6.021149, 252.0404
7.030802, 212.1201
8.037853, 252.136
9.044539, 251.3145
10.04967, 252.6307
11.057, 242.1798
12.06372, 246.3958
13.069, 251.7157
14.07302, 250.9822
