Time, fps 
0.9854822, 180.9787
1.992029, 203.4677
2.999648, 200.3131
4.005366, 207.9221
5.01102, 205.6061
6.016595, 207.6227
7.032305, 160.5602
8.037823, 203.8609
9.04349, 206.6704
10.05058, 205.3928
11.05797, 205.5081
12.07673, 200.0625
13.08656, 209.0378
14.09255, 204.7219
