Time, fps 
0.992709, 116.8727
2.006454, 122.2508
3.015905, 126.6529
4.031105, 136.013
5.042254, 140.3146
6.052177, 137.7421
7.063069, 113.4771
8.072126, 125.9143
9.079, 134.9232
10.0889, 137.696
11.0988, 140.4885
12.10787, 136.9053
13.11795, 134.5819
14.13011, 140.3854
