Time, fps 
0.9826955, 352.9249
1.987411, 378.226
2.991835, 397.3054
3.994978, 389.7371
4.999351, 375.4223
6.003113, 394.6164
7.009463, 342.2438
8.013258, 384.5083
9.015878, 389.9105
10.01874, 394.9572
11.0236, 393.5634
12.02645, 393.8519
13.03183, 388.9563
14.03448, 385.9997
